,path,emotion
182,data/emodb/wav\11b03Nb.wav,neutral
183,data/emodb/wav\11b03Td.wav,sad
184,data/emodb/wav\11b03Wa.wav,angry
185,data/emodb/wav\11b03Wb.wav,angry
186,data/emodb/wav\11b09Ad.wav,fear
187,data/emodb/wav\11b09Fd.wav,happy
188,data/emodb/wav\11b09Na.wav,neutral
189,data/emodb/wav\11b09Td.wav,sad
190,data/emodb/wav\11b09Wa.wav,angry
191,data/emodb/wav\11b10Ad.wav,fear
192,data/emodb/wav\11b10Ae.wav,fear
193,data/emodb/wav\11b10Nc.wav,neutral
194,data/emodb/wav\11b10Td.wav,sad
195,data/emodb/wav\11b10Wa.wav,angry
196,data/emodb/wav\12a01Fb.wav,happy
197,data/emodb/wav\12a01Nb.wav,neutral
198,data/emodb/wav\12a01Wc.wav,angry
199,data/emodb/wav\12a02Ac.wav,fear
200,data/emodb/wav\12a02Nb.wav,neutral
201,data/emodb/wav\12a02Wa.wav,angry
202,data/emodb/wav\12a02Wc.wav,angry
203,data/emodb/wav\12a04Wc.wav,angry
204,data/emodb/wav\12a05Ab.wav,fear
205,data/emodb/wav\12a05Nd.wav,neutral
206,data/emodb/wav\12a05Ta.wav,sad
207,data/emodb/wav\12a05Wb.wav,angry
208,data/emodb/wav\12a07Ac.wav,fear
209,data/emodb/wav\12a07Wa.wav,angry
210,data/emodb/wav\12b01Ta.wav,sad
211,data/emodb/wav\12b01Wa.wav,angry
212,data/emodb/wav\12b02Ad.wav,fear
213,data/emodb/wav\12b02Fb.wav,happy
214,data/emodb/wav\12b02Na.wav,neutral
215,data/emodb/wav\12b02Wa.wav,angry
216,data/emodb/wav\12b02Wb.wav,angry
217,data/emodb/wav\12b02Wd.wav,angry
218,data/emodb/wav\12b03Ta.wav,sad
219,data/emodb/wav\12b09Ac.wav,fear
220,data/emodb/wav\12b09Td.wav,sad
221,data/emodb/wav\12b09Wc.wav,angry
222,data/emodb/wav\12b10Ac.wav,fear
223,data/emodb/wav\12b10Wa.wav,angry
224,data/emodb/wav\13a01Ac.wav,fear
225,data/emodb/wav\13a01Fd.wav,happy
226,data/emodb/wav\13a01Nb.wav,neutral
227,data/emodb/wav\13a01Wb.wav,angry
228,data/emodb/wav\13a02Ad.wav,fear
229,data/emodb/wav\13a02Fa.wav,happy
230,data/emodb/wav\13a02Nc.wav,neutral
231,data/emodb/wav\13a02Ta.wav,sad
232,data/emodb/wav\13a02Wa.wav,angry
233,data/emodb/wav\13a04Ac.wav,fear
234,data/emodb/wav\13a04Fc.wav,happy
235,data/emodb/wav\13a04Ta.wav,sad
236,data/emodb/wav\13a04Wc.wav,angry
237,data/emodb/wav\13a05Aa.wav,fear
238,data/emodb/wav\13a05Nb.wav,neutral
239,data/emodb/wav\13a05Tc.wav,sad
240,data/emodb/wav\13a05Wa.wav,angry
241,data/emodb/wav\13a05Wc.wav,angry
242,data/emodb/wav\13a07Fd.wav,happy
243,data/emodb/wav\13a07Na.wav,neutral
244,data/emodb/wav\13a07Tc.wav,sad
245,data/emodb/wav\13a07Wb.wav,angry
246,data/emodb/wav\13b01Ab.wav,fear
247,data/emodb/wav\13b01Fc.wav,happy
248,data/emodb/wav\13b01Nc.wav,neutral
249,data/emodb/wav\13b01Wa.wav,angry
250,data/emodb/wav\13b02Fb.wav,happy
251,data/emodb/wav\13b02Nb.wav,neutral
252,data/emodb/wav\13b02Wa.wav,angry
253,data/emodb/wav\13b03Ac.wav,fear
254,data/emodb/wav\13b03Fd.wav,happy
255,data/emodb/wav\13b03Na.wav,neutral
256,data/emodb/wav\13b03Td.wav,sad
257,data/emodb/wav\13b03Wc.wav,angry
258,data/emodb/wav\13b09Ab.wav,fear
259,data/emodb/wav\13b09Fb.wav,happy
260,data/emodb/wav\13b09Fc.wav,happy
261,data/emodb/wav\13b09Na.wav,neutral
262,data/emodb/wav\13b09Wa.wav,angry
263,data/emodb/wav\13b10Fa.wav,happy
264,data/emodb/wav\13b10Nc.wav,neutral
265,data/emodb/wav\13b10Wa.wav,angry
266,data/emodb/wav\13b10Wc.wav,angry
267,data/emodb/wav\14a01Aa.wav,fear
268,data/emodb/wav\14a01Ac.wav,fear
269,data/emodb/wav\14a01Na.wav,neutral
270,data/emodb/wav\14a01Wa.wav,angry
271,data/emodb/wav\14a01Wc.wav,angry
272,data/emodb/wav\14a02Ab.wav,fear
273,data/emodb/wav\14a02Fd.wav,happy
274,data/emodb/wav\14a02Nc.wav,neutral
275,data/emodb/wav\14a02Tb.wav,sad
276,data/emodb/wav\14a02Wa.wav,angry
277,data/emodb/wav\14a02Wc.wav,angry
278,data/emodb/wav\14a04Aa.wav,fear
279,data/emodb/wav\14a04Tb.wav,sad
280,data/emodb/wav\14a04Tc.wav,sad
281,data/emodb/wav\14a04Wb.wav,angry
282,data/emodb/wav\14a04Wc.wav,angry
283,data/emodb/wav\14a05Aa.wav,fear
284,data/emodb/wav\14a05Ac.wav,fear
285,data/emodb/wav\14a05Fa.wav,happy
286,data/emodb/wav\14a05Fb.wav,happy
287,data/emodb/wav\14a05Na.wav,neutral
288,data/emodb/wav\14a05Ta.wav,sad
289,data/emodb/wav\14a05Tc.wav,sad
290,data/emodb/wav\14a05Wa.wav,angry
291,data/emodb/wav\14a05Wb.wav,angry
292,data/emodb/wav\14a07Aa.wav,fear
293,data/emodb/wav\14a07Fd.wav,happy
294,data/emodb/wav\14a07Na.wav,neutral
295,data/emodb/wav\14a07Tc.wav,sad
296,data/emodb/wav\14a07Wc.wav,angry
297,data/emodb/wav\14b01Ac.wav,fear
298,data/emodb/wav\14b01Fa.wav,happy
299,data/emodb/wav\14b01Fc.wav,happy
300,data/emodb/wav\14b01Na.wav,neutral
301,data/emodb/wav\14b01Wc.wav,angry
302,data/emodb/wav\14b02Aa.wav,fear
303,data/emodb/wav\14b02Fb.wav,happy
304,data/emodb/wav\14b02Na.wav,neutral
305,data/emodb/wav\14b02Tc.wav,sad
306,data/emodb/wav\14b02Wb.wav,angry
307,data/emodb/wav\14b02Wd.wav,angry
308,data/emodb/wav\14b03Ad.wav,fear
309,data/emodb/wav\14b03Ta.wav,sad
310,data/emodb/wav\14b03Wb.wav,angry
311,data/emodb/wav\14b09Ac.wav,fear
312,data/emodb/wav\14b09Fc.wav,happy
313,data/emodb/wav\14b09Td.wav,sad
314,data/emodb/wav\14b09Wa.wav,angry
315,data/emodb/wav\14b09Wc.wav,angry
316,data/emodb/wav\14b10Ad.wav,fear
317,data/emodb/wav\14b10Nb.wav,neutral
318,data/emodb/wav\14b10Tc.wav,sad
319,data/emodb/wav\14b10Wc.wav,angry
320,data/emodb/wav\15a01Fb.wav,happy
321,data/emodb/wav\15a01Nb.wav,neutral
322,data/emodb/wav\15a01Wa.wav,angry
323,data/emodb/wav\15a02Ac.wav,fear
324,data/emodb/wav\15a02Na.wav,neutral
325,data/emodb/wav\15a02Ta.wav,sad
